capability_id,capability_name,capability_domain,business_value,maturity_level
CAP-001,Financial Planning & Analysis,Finance,Critical,Advanced
CAP-002,IT Service Management,IT Operations,High,Established
CAP-003,Customer Relationship Mgmt,Sales,High,Advanced
CAP-004,Human Capital Management,Human Resources,Medium,Emerging
CAP-005,Data Analytics & BI,Data & Analytics,Critical,Advanced
CAP-006,Enterprise Collaboration,Corporate,Medium,Established
CAP-007,Content Management,Marketing,Low,Emerging
CAP-008,Project Portfolio Mgmt,Engineering,Medium,Established
CAP-009,Financial Accounting,Finance,Critical,Advanced
CAP-010,Workforce Analytics,Human Resources,Medium,Emerging
